"(Intercept)","logAI_snv","logARVI_snv","logEVI_snv","logHeight_snv","logLAI_snv","logNDVI_snv","logPRI_snv","logPropBare_snv","logPropShrub_snv","logSAVI_snv","df","logLik","AIC","delta","weight"
1.40618865426915e-16,NA,-0.0275963033930478,-0.580203084786352,0.607124023794468,0.534506140110683,NA,-0.333151497854194,NA,NA,NA,7,-170.429126024181,354.858252048361,38.7492489115832,1.72290689141193e-10
2.69415639021016e-16,NA,-0.00850388080477611,NA,0.647351897004949,-0.176018566268257,0.20185869549531,-0.187508023477589,NA,-0.103353584434264,NA,8,-169.462077772858,354.924155545717,38.8151524089383,1.66705928789736e-10
1.22446020443292e-16,NA,NA,-0.129035883375044,0.525002747382618,NA,0.237783749050021,NA,-0.303146246769276,NA,NA,6,-171.497127028625,354.99425405725,38.8852509204715,1.60964219150343e-10
2.64029250730418e-16,NA,NA,NA,0.63060477389066,NA,0.576338027807045,NA,NA,-0.110736527725944,-0.446288286677957,6,-171.501937681076,355.003875362152,38.8948722253734,1.60191735799194e-10
2.49685847194201e-16,NA,-0.0192712135246893,NA,0.588230619617122,-0.12973290962892,0.170936760949017,-0.192129317969208,NA,NA,NA,7,-170.529102368954,355.058204737909,38.9492016011307,1.55898750090741e-10
4.14271838814811e-16,NA,0.0144227843276137,0.173591604858428,0.612073980676502,1.63654685430801,NA,-0.200723713749782,NA,NA,-1.80831671499814,8,-169.529120012092,355.058240024184,38.9492368874058,1.55895999571906e-10
3.49633633090622e-16,NA,NA,NA,0.575291477460192,1.53908285552941,0.547968101357025,NA,NA,NA,-1.94496885095603,6,-171.563541286907,355.127082573813,39.0180794370352,1.50621164602551e-10
3.59105299908893e-16,NA,NA,NA,0.632721778965007,1.35485656302099,0.565779487337077,NA,NA,-0.0982461030683581,-1.79089041414497,7,-170.610657236974,355.221314473947,39.1123113371689,1.43689093231763e-10
5.25861716327013e-16,NA,0.0191369648216831,1.11834730686804,0.606500823938571,NA,NA,NA,NA,NA,-1.01278688736252,6,-171.615408466297,355.230816932594,39.1218137958155,1.43008012664784e-10
2.54400104317044e-16,NA,NA,NA,0.566514271958457,1.52704948708352,NA,NA,-0.325495471915173,NA,-1.47647768087396,6,-171.628435881036,355.256871762072,39.1478686252933,1.41157070644904e-10
3.1294602892879e-16,NA,-0.0182155625305463,0.536554021288027,0.533986905133359,-0.727639644296491,0.302819531503784,NA,-0.274513102784433,-0.0140669568582986,NA,9,-168.659313916135,355.318627832269,39.209624695491,1.36865023668365e-10
1.44576304000218e-16,NA,NA,NA,0.554080464178357,0.0569587652887173,NA,NA,-0.329427309770027,NA,NA,5,-172.685291578847,355.370583157694,39.2615800209156,1.33355373864299e-10
6.54366215019657e-16,NA,0.0495219820480953,1.11831466474515,0.657494969216461,1.58922727422097,NA,NA,NA,-0.0733315562515942,-2.62777253949252,8,-169.701514905975,355.403029811949,39.2940266751708,1.31209360814102e-10
1.41516722022395e-16,NA,NA,NA,0.527476706644429,NA,0.111224998132202,NA,-0.308539443556462,0.00563381635582656,NA,6,-171.705238442556,355.410476885112,39.3014737483335,1.30721706422214e-10
2.38337758817209e-16,NA,NA,NA,0.564404260105319,NA,0.557555739119379,NA,NA,NA,-0.413309113451794,5,-172.71785568433,355.43571136866,39.3267082318822,1.29082720530869e-10
3.41132394715353e-16,NA,-0.0159057287602287,0.758648777614327,0.543088126562064,-0.672790898586885,NA,NA,-0.30726034577902,0.00669920038720788,NA,8,-169.721029244359,355.442058488718,39.3330553519402,1.28673718108697e-10
1.42294809675584e-16,NA,NA,NA,0.555407751075966,NA,NA,NA,-0.331924799181948,NA,0.0510331382513684,5,-172.763616348782,355.527232697563,39.4182295607851,1.23308923378156e-10
3.78928596635078e-16,NA,0.0163467627544504,0.00771901915584036,0.664130210077711,1.48545221647858,NA,-0.231744588199193,NA,-0.0877636754743156,-1.52127917784527,9,-168.770129998229,355.540259996457,39.431256859679,1.22508342459877e-10
5.62287345021173e-16,NA,0.031929250747898,0.684757682433257,0.584818745664008,1.63164510445326,0.311439847394658,-0.0436509964147031,NA,NA,-2.52780616174664,9,-168.797691981147,355.595383962295,39.4863808255165,1.19177877559161e-10
2.74261197792849e-16,NA,-0.0117120420181206,0.0855476548667674,0.604985540730391,NA,NA,-0.216209586946039,NA,NA,-0.0787572304431512,7,-170.804374350807,355.608748701613,39.4997455648352,1.1838414189727e-10
2.48692680594823e-16,NA,-0.00676539181109573,-0.0943750762840086,0.665107344225191,NA,NA,-0.249961244214308,NA,-0.100103267404248,0.0665044609121093,8,-169.817337855424,355.634675710849,39.5256725740704,1.1685937305447e-10
1.87826585584533e-16,NA,-0.0324365556983713,NA,0.531728184561532,-0.32310680082823,0.440285528324078,NA,-0.28106740067537,-0.0174532748992642,NA,8,-169.822936327068,355.645872654136,39.5368695173576,1.16206967110251e-10
3.57937424193291e-16,NA,NA,0.563404946748309,0.63247656126072,-0.808829189484238,0.377933959068895,NA,NA,-0.104301940784548,NA,7,-170.865031727867,355.730063455735,39.6210603189566,1.11416719302867e-10
5.37554212359313e-16,NA,0.0274640333973221,1.10239981086888,0.657985046727802,NA,NA,NA,NA,-0.0853856846733428,-1.01325272326413,7,-170.89146964028,355.78293928056,39.6739361437822,1.08509691039433e-10
1.72021398142028e-16,NA,-0.0466853450317038,0.10685864654415,0.552062274192355,NA,NA,NA,-0.317314607842171,NA,NA,6,-171.915937894808,355.831875789616,39.722872652838,1.0588686711676e-10
3.43614478185609e-16,NA,NA,0.597826123666131,0.57098685324942,-0.798025260432833,0.346147968875121,NA,NA,NA,NA,6,-171.942781547404,355.885563094809,39.7765599580307,1.03082287826121e-10
5.28456297519696e-16,NA,0.034110209647247,0.523546612097089,0.637179486168082,1.47855157517846,0.315573454991281,-0.0729841425112676,NA,-0.0888869466967801,-2.24664435870042,10,-168.011857217735,356.02371443547,39.9147112986922,9.6202169546199e-11
3.99795171973152e-16,NA,0.0112208586601879,0.425261843725701,0.637977963592779,NA,0.317611901037814,-0.0900901139918753,NA,-0.101176100764417,-0.670969880201845,9,-169.059394644128,356.118789288255,40.0097861514768,9.17359630069445e-11
1.60394017833062e-16,NA,-0.00731798340993441,NA,0.572325362312613,NA,NA,NA,-0.352855995877786,NA,NA,5,-173.067312716529,356.134625433058,40.02562229628,9.10124591679701e-11
1.5724117928849e-16,NA,NA,NA,0.565965924440671,NA,NA,NA,-0.355979673205781,0.0058137558250497,NA,5,-173.071762619698,356.143525239396,40.0345221026176,9.06083623002999e-11
4.23478820282683e-16,NA,0.00596543462242543,0.599674424026557,0.577607920509713,NA,0.313082200629049,-0.0582619315939028,NA,NA,-0.807248504880288,8,-170.077130447466,356.154260894932,40.0452577581535,9.01232952600073e-11
2.25923305742069e-16,NA,NA,NA,0.631343979178286,-0.392999889330185,0.525142735886117,NA,NA,-0.11182546687213,NA,6,-172.135917026936,356.271834053872,40.1628309170934,8.49779746095732e-11
1.57422359580511e-16,NA,NA,0.0884175185339348,0.535641204497856,NA,NA,NA,-0.324821014039224,0.0121921170702684,NA,6,-172.148930152142,356.297860304284,40.1888571675055,8.38793096228199e-11
1.70443654813942e-16,NA,-0.0168838649105038,-0.527053602482384,0.655480560043377,0.335183050681325,0.16008927614572,-0.291490237311953,NA,-0.105264205249789,NA,9,-169.166084446978,356.332168893957,40.2231657571784,8.24526905212913e-11
1.33772757889474e-16,NA,-0.0525810920781237,-0.118488830728069,0.531929735056255,NA,0.249677329923989,NA,-0.304853369083057,NA,NA,7,-171.186334061503,356.372668123005,40.2636649862272,8.07998465268533e-11
1.57141803577816e-16,NA,-0.0272636088559966,-0.491013538898161,0.594785246391736,0.347309745692186,0.131491002917916,-0.289080789424384,NA,NA,NA,8,-170.275426926076,356.550853852152,40.4418507153734,7.3912517767463e-11
3.85087774444829e-16,NA,NA,0.858796976432809,0.60368823260536,-0.739940717431595,NA,NA,NA,NA,NA,5,-173.328712222476,356.657424444953,40.5484213081745,7.00771589095076e-11
1.50121269183886e-16,NA,-0.056421245937896,NA,0.528666780769736,NA,0.135078515199668,NA,-0.31630136330757,0.0131107915906744,NA,7,-171.350860809015,356.701721618029,40.5927184812508,6.85421112116628e-11
2.01813800573141e-16,NA,NA,NA,0.565052558181344,-0.354007234859819,0.500598230916791,NA,NA,NA,NA,5,-173.359119491449,356.718238982899,40.6092358461207,6.79783747461398e-11
2.64467177012196e-16,NA,-0.00809032640348709,NA,0.63130655400545,NA,0.575056506765783,NA,NA,-0.109786209967969,-0.441282730218471,7,-171.494990685487,356.989981370974,40.8809782341956,5.93420666854934e-11
1.23110004791481e-16,NA,NA,-0.130808483492923,0.527941772574553,NA,0.239526642738978,NA,-0.299912990557118,-0.00401015746218219,NA,7,-171.495946138931,356.991892277862,40.8828891410837,5.92853951813049e-11
4.00870345652419e-16,NA,NA,0.84969476469151,0.659826321209255,-0.744702257371917,NA,NA,NA,-0.0907904378757971,NA,6,-172.518938438694,357.037876877388,40.9288737406102,5.79378386797195e-11
